AirBnB,Number of bedrooms,Guest reviews,Length of stay,Income Per Week($)
"Tremblay, Maggio and Harvey",3,3,2,5009
Lemke LLC,6,1,88,4957
Padberg LLC,5,2,41,5789
Cruickshank LLC,3,5,18,2691
Bednar-Wilderman,9,3,99,5215
Johnston-Hackett,5,1,18,8510
"Christiansen, Okuneva and Hirthe",6,4,2,7431
Macejkovic Inc,2,4,52,1607
Batz Group,3,5,75,6774
Greenfelder LLC,2,5,91,2496
"Ebert, Kuvalis and Stehr",10,2,100,5538
Mills LLC,4,3,77,533
Willms-Padberg,12,2,92,5997
Purdy-Hettinger,7,5,46,7402
"Barrows, Kuphal and Marks",5,5,76,1754
Veum-Krajcik,6,3,97,2821
Lynch-Lind,6,2,41,7772
Pfeffer LLC,1,3,14,7997
Rogahn Inc,9,2,89,4604
Bergstrom-Kunze,8,3,2,6330
Becker-Sawayn,7,1,35,6841
Ferry and Sons,2,5,25,4868
Von Inc,4,4,68,7129
"Schiller, Bartoletti and Kreiger",2,5,33,8147
Muller-Schoen,2,3,4,5849
"Robel, Smith and Bednar",7,5,34,9107
Dare-Heathcote,3,3,57,6703
"O'Keefe, Hand and Greenholt",4,4,57,6834
"Reichert, Waters and Shanahan",6,1,16,5669
"Schowalter, Stehr and Gleichner",11,4,98,7581
Romaguera-Sanford,5,5,7,7444
McGlynn and Sons,6,5,98,5556
"Kunze, Kihn and Turner",4,3,36,9127
"Towne, Cremin and Wolff",8,1,9,6281
"Hane, Botsford and Hamill",2,3,78,4045
"Turner, Hilpert and Adams",11,3,54,2396
Stokes Inc,7,2,63,1558
"Turcotte, Tillman and Wehner",9,4,37,5862
Langworth Group,8,4,32,1672
"Renner, Thompson and Leannon",12,3,86,4350
Olson-O'Conner,4,4,90,9721
"Pacocha, Howe and Bergstrom",10,4,29,2237
Runolfsdottir-Rath,6,1,97,4788
Conroy-Cummerata,11,4,25,2943
Okuneva-Powlowski,2,3,45,6959
Hauck Group,1,4,9,7244
O'Hara-Kiehn,8,5,37,8393
Orn LLC,4,4,33,5885
"Gerhold, Homenick and Hilpert",11,5,100,8615
Reilly Group,7,2,83,3206
"Crist, Ferry and Gerlach",9,3,22,6839
Lemke-Turcotte,6,4,39,1603
"Cartwright, Shields and Mills",5,2,58,723
Kerluke-Mayer,9,4,15,1253
"Prosacco, Leannon and Green",3,3,26,5601
Dicki Inc,3,5,50,5892
Douglas Inc,2,2,60,5748
Batz-Stiedemann,6,5,49,6626
Schneider and Sons,6,1,44,8605
Hoppe-Gottlieb,11,2,2,9391
"Schowalter, Dietrich and Runolfsdottir",4,2,98,246
"Lindgren, Hackett and Jakubowski",12,4,61,6260
Huel Group,7,3,85,4705
Glover-Hammes,11,4,10,8013
Davis-Hoppe,5,1,88,8460
"Kshlerin, Kunze and Stroman",2,5,7,1475
"Sawayn, Buckridge and Stracke",1,2,48,637
Sawayn-Rohan,2,4,74,1977
"Kiehn, Ryan and VonRueden",8,3,72,1806
"Buckridge, Leannon and Haley",1,2,99,5690
Lowe-Rippin,9,4,84,1650
"Hamill, Hand and Bogisich",8,5,19,6645
Kshlerin-Schmitt,5,3,72,2135
"Wuckert, Price and Simonis",2,3,84,7081
"Lind, Ritchie and Douglas",10,3,49,4052
"Daugherty, Tromp and Sawayn",4,2,22,7735
Kohler LLC,8,1,80,3302
Friesen Group,1,1,62,6511
"Weber, Aufderhar and Langworth",9,2,66,4103
Bode-Cremin,6,2,36,8849
"Gleason, Abernathy and Klocko",12,2,32,1812
Walter Inc,10,1,93,1720
Braun-Bahringer,2,1,96,7004
Dickens and Sons,5,4,77,9692
Wiegand-Lemke,6,5,55,349
O'Kon LLC,11,5,37,323
"Huels, Kirlin and Macejkovic",2,4,88,3948
"Kuhic, Mann and Batz",7,3,33,7160
Kub-Hintz,5,5,59,9094
Mosciski Inc,3,3,5,7886
Wisoky LLC,10,1,6,9043
Hammes-Bartoletti,4,4,44,5138
Morar Group,4,5,87,9549
D'Amore LLC,7,5,35,6911
"Toy, Hyatt and Effertz",11,2,36,8263
"Nader, Weissnat and Hintz",10,2,60,473
Parisian-Batz,9,1,6,6780
Braun and Sons,11,1,46,5808
Senger Group,2,4,14,2519
"Breitenberg, Witting and Bayer",5,5,82,1127
"Kuphal, Denesik and Bosco",10,4,81,9391
Bosco and Sons,1,1,86,1927
"Volkman, Hyatt and Hahn",9,1,12,7213
Schamberger-Kertzmann,8,5,32,7461
"McDermott, Runolfsdottir and Prohaska",1,2,7,9490
Beatty-Gusikowski,9,1,7,1405
"Luettgen, Kiehn and Koepp",7,2,9,536
Conn Group,3,1,24,1308
Goyette and Sons,11,2,26,9330
Mante LLC,3,2,28,686
Tremblay-Hermann,3,3,24,8363
Hayes-O'Connell,11,5,98,6717
Hudson-Fay,4,4,67,7634
Bernier-Blick,8,1,81,841
Schneider-Friesen,8,4,47,4104
Fadel-Ratke,7,4,24,5170
Bednar and Sons,4,3,7,5414
Feil-Mills,9,2,46,7285
"Tillman, Hessel and Hansen",12,2,17,7257
"Abernathy, Stanton and Leannon",10,5,68,9480
O'Keefe-Parisian,3,2,62,3899
Gibson and Sons,12,4,87,5800
Jacobi-Schuster,8,3,92,836
"D'Amore, Satterfield and Turcotte",8,1,41,9298
"Wolff, Kihn and Powlowski",5,5,75,7585
Bahringer-Emard,9,2,38,2159
Kub-Treutel,8,1,45,3459
"Rogahn, Mitchell and Swaniawski",11,1,12,8667
Russel Inc,2,3,47,1551
Huel and Sons,1,1,40,3137
Casper-Nicolas,8,5,42,9284
"Grady, Haley and Roob",7,5,65,3971
Connelly-Gerhold,5,4,71,8185
Strosin-Klein,5,5,61,9248
Kovacek Inc,1,5,21,8862
Collins-Bergnaum,12,1,33,1940
Schulist and Sons,8,1,98,1836
"King, Kerluke and Fay",1,2,18,1663
Lehner-Jast,10,3,100,723
Williamson Inc,9,3,83,8396
Little and Sons,12,4,6,5216
Langworth Inc,3,2,26,3143
"Beahan, Klein and Prohaska",4,3,20,5276
Hintz and Sons,3,4,72,2379
"Batz, Durgan and Denesik",7,4,27,675
Nitzsche Group,10,1,63,8754
Carroll Inc,5,1,22,7398
DuBuque-Daugherty,9,1,48,8954
Nitzsche LLC,3,3,61,4898
"Casper, Bradtke and Murphy",2,1,46,5381
Willms-Lindgren,9,2,23,2620
Kassulke-Casper,9,1,2,5615
McKenzie-Johns,5,5,27,4906
Bayer and Sons,3,1,56,5449
Ledner-Wolf,6,2,43,365
Effertz-Bradtke,4,2,99,9088
Lesch-Block,3,5,84,8182
Turcotte-Cummerata,6,5,100,6733
"Schowalter, Ruecker and Spencer",12,2,46,5527
Zboncak Inc,5,3,1,4168
"Pacocha, Simonis and VonRueden",10,1,85,960
Stark-Stracke,2,4,85,6977
Champlin Inc,8,2,96,968
Champlin-Swift,3,4,82,5845
"Murray, Sauer and D'Amore",5,2,18,1423
"Runolfsdottir, MacGyver and McClure",1,5,90,8802
"Willms, Bosco and Kunze",8,2,24,3595
Kulas LLC,7,2,55,3806
"DuBuque, Botsford and Roob",6,1,57,6612
Skiles and Sons,8,1,63,7406
Mills-Aufderhar,9,4,11,612
Hand Inc,8,3,59,8856
Stiedemann-Fritsch,11,4,50,1203
"Labadie, Bednar and Abshire",8,2,89,8397
Kilback-Barrows,4,2,6,4235
Nienow and Sons,4,5,58,8793
O'Kon and Sons,2,3,84,9533
"Muller, Schamberger and Brekke",2,1,16,1484
Connelly Group,8,2,28,607
Nienow-McCullough,3,4,72,3523
Moen and Sons,12,1,35,2788
"Muller, Schultz and Franecki",3,3,56,3605
Morissette-Orn,3,3,79,7183
Schumm Inc,4,2,90,1537
Renner-Hoppe,12,2,72,4807
Green Group,6,1,20,8528
Strosin Inc,9,1,12,6414
Corwin Group,4,5,15,8329
"Kris, Rolfson and Wisozk",2,4,39,2962
Wiza Group,1,4,72,5334
"Thompson, Jerde and Roberts",5,4,35,8767
Hudson-Steuber,3,5,59,2623
Kertzmann-Ullrich,9,1,85,909
"Ortiz, Kemmer and Quitzon",12,4,42,8902
Graham Inc,11,2,79,8569
Flatley Group,5,3,29,4463
Gottlieb-Wiegand,11,4,50,9537
Johnston LLC,1,5,14,9012
Kozey-Breitenberg,11,2,13,898
Cronin-Gutmann,12,5,12,7807
Rau LLC,4,3,73,1216
Turcotte-Jenkins,8,1,46,2946
Schmidt LLC,1,5,54,6628
"Bogan, Boehm and Fisher",11,3,95,4258
Considine-Lindgren,7,4,23,712
Kshlerin-Zulauf,2,2,80,6926
Raynor-Mayert,9,3,10,1378
Schowalter LLC,5,1,30,3009
"Breitenberg, Lakin and Bogisich",5,4,71,4802
Skiles and Sons,8,4,49,657
"Spencer, Gottlieb and Russel",4,1,68,7925
"White, Crona and Carroll",5,2,6,412
Heidenreich and Sons,5,4,8,4842
Gorczany-Nienow,2,4,22,8229
Simonis-Fritsch,3,2,81,7680
"Feest, Crist and Gutkowski",11,5,72,3248
Howe Group,8,1,22,729
"Carroll, Smith and Dietrich",11,1,82,1368
"Langworth, Wintheiser and Connelly",8,2,53,4575
"Gottlieb, Schmeler and Moore",10,3,38,7795
Kautzer-Mills,4,1,87,3415
Lueilwitz-Ruecker,12,3,96,907
Beahan-Lehner,9,3,33,5095
"Robel, Wyman and Lehner",1,1,25,1509
Dooley LLC,3,5,20,267
"Hilpert, Fahey and Kuhic",1,3,21,5858
"Schowalter, Legros and Koepp",10,5,73,3550
"Weissnat, Waelchi and Wilkinson",4,2,88,5174
Gorczany-Wolff,5,3,26,572
Terry-Cartwright,4,5,55,407
Watsica LLC,1,1,17,2616
O'Hara-Bergnaum,5,2,49,5882
Vandervort LLC,7,4,70,1682
Rath-Rogahn,2,1,41,9528
Douglas and Sons,7,5,15,3484
Hettinger Group,11,4,76,8192
"Pacocha, Konopelski and Towne",12,4,81,6907
White and Sons,6,2,45,6846
Rogahn Group,5,2,88,6604
"Marks, Corwin and Olson",9,1,22,8620
Hyatt-Yundt,1,3,57,7635
Tromp LLC,10,5,90,3030
Sporer Group,4,1,89,8152
Cartwright-Jacobson,3,2,96,1341
"Denesik, VonRueden and Collier",10,2,96,1199
"Mitchell, Pouros and Brown",12,4,57,1310
Konopelski-Ward,5,1,28,4776
Volkman-Johnston,3,4,90,2102
Glover LLC,2,5,64,4170
"Paucek, Orn and Welch",6,4,4,5383
Weimann-Marvin,8,3,3,9053
"Kling, Lebsack and Stehr",1,4,55,9144
Cummerata Inc,9,5,73,9525
"Schneider, Rempel and Mosciski",10,5,45,2321
Runolfsson-Quitzon,12,1,69,2913
"Fritsch, Nicolas and Hyatt",10,2,3,1000
"Green, Marquardt and Feil",2,3,43,6760
"Konopelski, Gleichner and Hermiston",10,2,8,6617
"Crona, Feil and Goldner",2,4,49,4342
Zemlak Inc,6,5,7,4389
Prosacco-Hirthe,3,4,69,3975
Hermann-Jenkins,3,2,55,6073
Nolan-Halvorson,10,1,30,872
"Muller, Legros and Kuhic",5,2,29,858
D'Amore LLC,5,4,1,39
Marquardt and Sons,9,1,56,19
Padberg-Sawayn,10,1,26,4035
Parker LLC,8,5,4,8461
Dickens and Sons,7,4,76,8292
Lynch and Sons,7,4,1,6589
"Tromp, DuBuque and Simonis",10,2,54,2644
Pacocha-Sawayn,4,3,62,3294
Wiegand Inc,11,4,45,8057
Kemmer-Price,2,1,92,46
Heidenreich-Lang,11,1,67,2090
O'Hara LLC,8,3,87,427
Satterfield Group,6,2,94,5847
"Brown, Rogahn and Welch",9,5,45,4205
"Denesik, Ruecker and Mueller",4,4,94,3384
Senger Inc,2,2,25,663
Lueilwitz-Kovacek,8,5,25,6620
"Kub, Towne and Herman",10,3,52,558
Strosin-Tromp,8,5,28,6798
"Douglas, Wilderman and Quigley",6,4,17,8304
"Dickinson, Bayer and Hammes",7,1,4,8717
Wiegand LLC,3,4,22,7915
"Rogahn, Mohr and Ruecker",12,4,81,3221
Renner and Sons,11,4,36,5638
"Mills, Baumbach and Klocko",4,2,88,7946
Rippin-Gutkowski,6,5,69,9347
Moen-Schimmel,1,3,94,578
Keeling Group,8,2,48,7832
Bruen and Sons,9,5,42,4473
Glover Group,8,1,97,4972
Wisozk-Feil,1,5,25,848
"Schinner, Becker and Weber",1,4,53,7524
Lesch-Gutmann,7,3,79,9625
"Carter, Barton and Willms",12,4,54,8944
"Walsh, Mayer and Turner",10,2,73,3157
Raynor-McDermott,6,2,73,5584
Mueller-D'Amore,10,4,39,6158
"Torp, Wuckert and Stroman",10,5,42,2966
Bins-Bauch,11,1,2,398
Tillman Group,6,2,96,8350
"Jacobi, Wyman and Littel",8,5,100,9799
"Sanford, Schuppe and Quigley",7,1,18,8898
O'Kon-Lowe,8,1,48,161
Bode-Pagac,6,1,22,7755
Volkman-Ziemann,8,5,46,6553
Robel-Leffler,7,4,85,9736
Kihn-McDermott,7,3,40,4455
"Shields, Schuster and Lesch",6,1,93,7307
"Streich, Stokes and Balistreri",2,2,64,519
"Baumbach, Prosacco and Ward",7,3,75,2494
"McGlynn, Price and McKenzie",1,2,99,2131
Gutmann-Schoen,4,3,60,4558
Lockman-Schroeder,12,4,73,3430
Fritsch-Jones,6,2,100,3243
Senger-Cummerata,7,4,36,6283
Botsford Group,9,4,5,2687
"Williamson, Jenkins and Mitchell",6,4,28,1015
Lemke Inc,7,5,68,7394
Bogan Group,10,4,36,818
Morar-Pouros,2,2,59,3223
Bechtelar-Schmeler,4,1,89,8055
Borer and Sons,4,1,32,3673
Konopelski Group,11,3,80,7217
Dooley Group,11,5,38,6563
Rowe and Sons,3,2,35,4593
Maggio LLC,8,5,82,470
Sauer Inc,9,2,3,5767
Kautzer and Sons,6,5,49,6342
Padberg-Howe,7,3,3,4552
"Lakin, Luettgen and Corwin",5,4,69,170
"Cartwright, Johnson and Mitchell",2,2,22,3161
"Graham, Bins and Abernathy",2,5,47,8055
Jenkins and Sons,10,3,94,7348
"Heaney, Bayer and Daugherty",3,2,64,5475
Hoppe LLC,6,5,36,4062
Thompson-Jerde,9,3,12,1393
"Batz, Murphy and Abbott",9,5,12,2295
Gulgowski LLC,3,4,11,6055
Graham-Green,4,4,20,4635
Thiel-Farrell,10,3,80,8851
Bailey-McKenzie,4,5,67,8878
Balistreri LLC,6,4,17,9228
Wunsch-Cremin,10,1,59,856
"Shields, Emard and Ernser",10,2,87,283
"Abbott, Goodwin and Wyman",7,3,2,5774
Okuneva Inc,11,5,44,5910
"Kling, Gerlach and Stanton",11,5,34,3054
"Mills, Davis and Graham",12,2,92,434
Altenwerth Inc,10,5,3,8717
"Harber, Schroeder and Ryan",11,1,50,5860
Mraz-Altenwerth,7,1,45,5260
Mann-Green,3,1,68,1863
"Wehner, Flatley and Senger",5,4,51,3041
"Franecki, Gutkowski and Bashirian",2,2,16,3055
Moen LLC,4,5,13,4070
Harvey Group,9,5,76,259
"Dach, Schulist and Kuhn",2,2,60,923
"Wiegand, Wilderman and Orn",3,1,77,7594
Muller-Ferry,6,5,79,6477
Pagac and Sons,12,3,72,8988
"Kling, Johnson and Wuckert",7,3,85,5569
Weimann Inc,3,1,91,6518
Steuber-Vandervort,10,4,20,2473
Champlin-Nader,2,4,42,4767
Rosenbaum-Schuster,5,2,44,2977
Larson-Kunde,7,5,7,8307
Jacobson LLC,9,2,41,8207
Erdman-Nader,8,5,98,4005
Weimann-Goldner,7,5,14,1622
Kozey-Nolan,6,4,72,7507
Quitzon and Sons,11,4,28,7714
"Fay, Robel and Kling",11,4,91,3935
Haley-Stanton,2,1,43,2334
Gulgowski-Howe,7,3,51,2712
Mann and Sons,1,3,18,469
Bashirian and Sons,9,2,59,6849
Ortiz and Sons,2,4,50,4945
Bergstrom and Sons,9,1,30,5205
Mayer-Stiedemann,11,5,16,2628
"Cronin, Buckridge and Schimmel",6,2,71,5501
Stehr Group,12,3,37,424
Williamson-Ziemann,8,5,37,1558
"Leannon, Bahringer and Kuhic",7,1,69,3274
Rolfson LLC,2,4,64,362
"Parker, Reilly and Lehner",1,3,68,7311
Prosacco Group,11,5,14,3540
Kautzer LLC,4,3,26,1689
Schoen-Dicki,10,1,78,1511
"Gerhold, Wiza and Olson",5,4,5,6888
Hickle LLC,9,4,88,4884
Barton Group,7,3,95,1353
Green Group,12,2,49,7767
Walker Group,5,3,7,8119
Collins and Sons,3,1,29,6628
"Hauck, Langosh and Ledner",12,5,53,7271
Kozey-Conn,11,4,97,2153
"Conn, Douglas and Dooley",9,2,78,5661
Runolfsson Inc,10,2,3,6333
Beatty LLC,6,5,82,3391
Koelpin-Johns,10,3,89,7734
"Emard, Waters and Prohaska",2,5,40,1868
Fisher LLC,7,4,48,5342
Feil Inc,7,4,15,5985
"Mohr, Murazik and Kutch",10,4,62,9526
"Yost, Turcotte and Robel",9,3,70,5641
Will-Kuhlman,11,5,13,7267
"Berge, Senger and Ledner",2,3,20,9270
"Schmitt, Satterfield and Leuschke",5,1,98,1727
"Kuvalis, Zieme and Steuber",12,4,74,1936
Mohr-Glover,6,5,62,4222
Olson Group,8,3,84,138
"Bins, Langworth and Bogisich",12,1,30,9241
Collier-Durgan,8,2,65,4295
"Parker, Davis and Pouros",11,3,23,8470
"Lakin, Kemmer and Cremin",4,1,91,6138
"McCullough, Macejkovic and Beatty",12,5,46,3266
Harber-Stiedemann,1,4,53,649
"Hermiston, Dickinson and Fisher",1,1,42,1821
Schaefer-Will,5,3,7,2953
Baumbach-Emmerich,12,2,57,4648
Gulgowski LLC,6,1,77,6483
Gutmann-Lynch,9,5,9,33
"Ankunding, Harris and Yost",2,4,8,6693
"Ernser, Glover and Mills",3,2,61,7907
"Conroy, Weber and Ward",12,1,6,66
Weissnat Inc,12,2,23,673
Dickens-Hills,10,2,42,8540
Runolfsdottir-Berge,9,3,61,5517
Pfeffer Group,6,2,49,8248
Marvin and Sons,8,5,1,128
Runte Group,5,4,17,866
Gulgowski-Beatty,10,4,44,619
Medhurst-Weissnat,1,3,69,8579
Pfannerstill-Jenkins,10,2,35,2197
Hessel-Jaskolski,8,4,56,8338
Haag Group,7,4,7,6337
"Johnson, Schmitt and Mertz",11,2,56,3476
Cole Group,1,1,30,7254
"Frami, Haag and Lueilwitz",6,4,21,4484
"Hirthe, Goyette and Kirlin",7,4,77,344
"Franecki, Tremblay and Ankunding",2,4,22,9729
"Mueller, Stamm and Kihn",3,2,26,1280
"Turner, Luettgen and Skiles",4,3,44,9415
Lynch Inc,1,5,44,8700
"Will, Rowe and Herman",7,2,53,1353
Hagenes and Sons,5,1,89,5128
"Rutherford, Dooley and Dietrich",2,5,99,3957
"Hettinger, Quigley and Wolff",6,4,84,5103
Mraz-Hamill,2,5,50,1675
Leuschke Group,10,1,54,4708
Wolff-Denesik,6,1,20,5797
"Auer, Kuhlman and Schneider",8,2,29,1128
"Zboncak, Crona and Daugherty",2,2,62,5516
"O'Hara, Bailey and Ankunding",11,3,27,826
Doyle-Collins,4,3,38,4463
Ratke-Mertz,2,1,57,9754
"Bednar, Terry and Hermann",2,2,12,9802
Wuckert-Greenholt,6,5,44,2454
Green LLC,9,1,32,7953
"Hickle, Purdy and Kessler",3,2,10,404
"Herman, Weimann and Dietrich",12,5,72,7383
"Casper, Quitzon and Rippin",5,5,30,4594
Cartwright Group,11,5,94,9946
Smith-Ruecker,5,4,3,4414
"Ebert, Ziemann and Mosciski",7,5,21,5975
Heaney LLC,8,1,16,3999
Windler-Zieme,8,2,92,1815
Larkin and Sons,4,2,16,7430
Smith and Sons,10,2,97,2607
Kiehn Inc,6,2,73,586
Schuster-McCullough,9,5,54,8972
"Kohler, Wilderman and Kassulke",12,3,9,5727
Parisian Group,4,5,11,2924
"Kris, Adams and Blick",10,2,39,8508
Legros and Sons,10,1,23,7145
Brakus Inc,7,4,41,4662
Trantow Group,8,5,97,1443
"Thiel, Stracke and Batz",5,4,85,6304
"Boehm, Waters and Bahringer",5,5,88,2741
Emmerich-Beatty,3,5,46,7014
"Towne, Koch and Stroman",12,1,56,9963
"Kirlin, Yost and Upton",7,4,73,8375
Zieme-Padberg,7,1,74,54
Hettinger Inc,8,2,7,3424
Boehm and Sons,4,4,30,4074
"Greenholt, Gibson and Erdman",7,2,22,2094
Boyer and Sons,1,2,72,5266
"Stoltenberg, Weimann and Cummings",1,5,62,366
Torp-Skiles,5,1,30,2803
Farrell Inc,11,2,26,9798
Hansen and Sons,11,2,5,4808
Langosh Inc,2,5,40,7136
"Monahan, Pfannerstill and Spencer",11,5,94,4846
